code,ai_can_execute,ai_commands,ai_packages_needed,ai_logs_output,risk,remark
Wistron-BIOS-00345-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 41 2>/dev/null | grep -iA1 \""Segment Group Number\""""",dmidecode,"return FULL raw `dmidecode -t 41` output filtered to the `Segment Group Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00346-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 41 2>/dev/null | grep -iA1 \""Bus Number (Bus Address)\""""",dmidecode,"return FULL raw `dmidecode -t 41` output filtered to the `Bus Number (Bus Address)` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00347-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 41 2>/dev/null | grep -iA1 \""Device/Function Number\""""",dmidecode,"return FULL raw `dmidecode -t 41` output filtered to the `Device/Function Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00348-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 42 2>/dev/null | grep -iA1 \""Type\""""",dmidecode,"return FULL raw `dmidecode -t 42` output filtered to the `Type` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00349-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 42 2>/dev/null | grep -iA1 \""Length\""""",dmidecode,"return FULL raw `dmidecode -t 42` output filtered to the `Length` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00350-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 42 2>/dev/null | grep -iA1 \""Handle\""""",dmidecode,"return FULL raw `dmidecode -t 42` output filtered to the `Handle` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00351-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 42 2>/dev/null | grep -iA1 \""Interface Type\""""",dmidecode,"return FULL raw `dmidecode -t 42` output filtered to the `Interface Type` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00352-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 42 2>/dev/null | grep -iA1 \""MC Host Interface Data\""""",dmidecode,"return FULL raw `dmidecode -t 42` output filtered to the `MC Host Interface Data` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00353-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 44 2>/dev/null | grep -iA1 \""Referenced Handle\""""",dmidecode,"return FULL raw `dmidecode -t 44` output filtered to the `Referenced Handle` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00354-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 44 2>/dev/null | grep -iA1 \""Processor-Specific Block\""""",dmidecode,"return FULL raw `dmidecode -t 44` output filtered to the `Processor-Specific Block` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00355-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 45 2>/dev/null | grep -iA1 \""Firmware Component Name\""""",dmidecode,"return FULL raw `dmidecode -t 45` output filtered to the `Firmware Component Name` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00356-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 45 2>/dev/null | grep -iA1 \""Firmware Version\""""",dmidecode,"return FULL raw `dmidecode -t 45` output filtered to the `Firmware Version` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00010-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""BaseBoard Information\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `BaseBoard Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00011-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""System Chassis Record\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `System Chassis Record` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00012-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Information Record\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Information Record` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00013-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 7 2>/dev/null | grep -iA1 \""Cache Information\""""",dmidecode,"return FULL raw `dmidecode -t 7` output filtered to the `Cache Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00014-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 8 2>/dev/null | grep -iA1 \""Port Connector Record\""""",dmidecode,"return FULL raw `dmidecode -t 8` output filtered to the `Port Connector Record` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00015-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 9 2>/dev/null | grep -iA1 \""System Slot Record\""""",dmidecode,"return FULL raw `dmidecode -t 9` output filtered to the `System Slot Record` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00016-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 10 2>/dev/null | grep -iA1 \""On Board Devices Information\""""",dmidecode,"return FULL raw `dmidecode -t 10` output filtered to the `On Board Devices Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00017-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 13 2>/dev/null | grep -iA1 \""BIOS Language Information\""""",dmidecode,"return FULL raw `dmidecode -t 13` output filtered to the `BIOS Language Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00018-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 16 2>/dev/null | grep -iA1 \""Physical Memory Array\""""",dmidecode,"return FULL raw `dmidecode -t 16` output filtered to the `Physical Memory Array` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00019-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 17 2>/dev/null | grep -iA1 \""Memory Device Record\""""",dmidecode,"return FULL raw `dmidecode -t 17` output filtered to the `Memory Device Record` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00020-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 32 2>/dev/null | grep -iA1 \""System Boot Info Record\""""",dmidecode,"return FULL raw `dmidecode -t 32` output filtered to the `System Boot Info Record` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00021-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 41 2>/dev/null | grep -iA1 \""Onboard Devices Extended Information (For LAN chips on board)\""""",dmidecode,"return FULL raw `dmidecode -t 41` output filtered to the `Onboard Devices Extended Information (For LAN chips on board)` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00357-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 24 2>/dev/null | grep -iA1 \""Hardware Security\""""",dmidecode,"return FULL raw `dmidecode -t 24` output filtered to the `Hardware Security` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,same code in 2 workbook rows (multi-row code)
Wistron-BIOS-00389-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 21 2>/dev/null | grep -iA1 \""Built-in Pointing Device\""""",dmidecode,"return FULL raw `dmidecode -t 21` output filtered to the `Built-in Pointing Device` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00390-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 22 2>/dev/null | grep -iA1 \""Portable Battery\""""",dmidecode,"return FULL raw `dmidecode -t 22` output filtered to the `Portable Battery` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00391-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 23 2>/dev/null | grep -iA1 \""System Reset\""""",dmidecode,"return FULL raw `dmidecode -t 23` output filtered to the `System Reset` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00392-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 25 2>/dev/null | grep -iA1 \""System Power Controls\""""",dmidecode,"return FULL raw `dmidecode -t 25` output filtered to the `System Power Controls` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00393-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 26 2>/dev/null | grep -iA1 \""Voltage Probe\""""",dmidecode,"return FULL raw `dmidecode -t 26` output filtered to the `Voltage Probe` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00394-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 27 2>/dev/null | grep -iA1 \""Cooling Device\""""",dmidecode,"return FULL raw `dmidecode -t 27` output filtered to the `Cooling Device` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00395-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 28 2>/dev/null | grep -iA1 \""Temperature Probe\""""",dmidecode,"return FULL raw `dmidecode -t 28` output filtered to the `Temperature Probe` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00396-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 29 2>/dev/null | grep -iA1 \""Electrical Current Probe\""""",dmidecode,"return FULL raw `dmidecode -t 29` output filtered to the `Electrical Current Probe` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00397-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 30 2>/dev/null | grep -iA1 \""Out-of-Band Remote Access\""""",dmidecode,"return FULL raw `dmidecode -t 30` output filtered to the `Out-of-Band Remote Access` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00399-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 33 2>/dev/null | grep -iA1 \""64-Bit Memory Error Information\""""",dmidecode,"return FULL raw `dmidecode -t 33` output filtered to the `64-Bit Memory Error Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00400-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 34 2>/dev/null | grep -iA1 \""Management Device\""""",dmidecode,"return FULL raw `dmidecode -t 34` output filtered to the `Management Device` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00401-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 35 2>/dev/null | grep -iA1 \""Management Device Component\""""",dmidecode,"return FULL raw `dmidecode -t 35` output filtered to the `Management Device Component` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00358-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 36 2>/dev/null | grep -iA1 \""Management Device Threshold Data\""""",dmidecode,"return FULL raw `dmidecode -t 36` output filtered to the `Management Device Threshold Data` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00359-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 37 2>/dev/null | grep -iA1 \""Memory Channel\""""",dmidecode,"return FULL raw `dmidecode -t 37` output filtered to the `Memory Channel` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00360-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 43 2>/dev/null | grep -iA1 \""TPM Device\""""",dmidecode,"return FULL raw `dmidecode -t 43` output filtered to the `TPM Device` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00362-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 46 2>/dev/null | grep -iA1 \""String Property\""""",dmidecode,"return FULL raw `dmidecode -t 46` output filtered to the `String Property` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00473-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 11 2>/dev/null | grep -iA1 \""OEM Strings\""""",dmidecode,"return FULL raw `dmidecode -t 11` output filtered to the `OEM Strings` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00465-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 18 2>/dev/null | grep -iA1 \""32-Bit Memory Error Information\""""",dmidecode,"return FULL raw `dmidecode -t 18` output filtered to the `32-Bit Memory Error Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,same code in 2 workbook rows (multi-row code)
Wistron-BIOS-00477-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 15 2>/dev/null | grep -iA1 \""System Event Log\""""",dmidecode,"return FULL raw `dmidecode -t 15` output filtered to the `System Event Log` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00478-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 19 2>/dev/null | grep -iA1 \""Memory Array Mapped Address\""""",dmidecode,"return FULL raw `dmidecode -t 19` output filtered to the `Memory Array Mapped Address` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00479-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 20 2>/dev/null | grep -iA1 \""Memory Device Mapped Address\""""",dmidecode,"return FULL raw `dmidecode -t 20` output filtered to the `Memory Device Mapped Address` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00480-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 26 2>/dev/null | grep -iA1 \""Voltage Probe\""""",dmidecode,"return FULL raw `dmidecode -t 26` output filtered to the `Voltage Probe` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00481-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 27 2>/dev/null | grep -iA1 \""Cooling Device\""""",dmidecode,"return FULL raw `dmidecode -t 27` output filtered to the `Cooling Device` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00482-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 28 2>/dev/null | grep -iA1 \""Temperature Probe\""""",dmidecode,"return FULL raw `dmidecode -t 28` output filtered to the `Temperature Probe` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00483-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 29 2>/dev/null | grep -iA1 \""Electrical Current Probe\""""",dmidecode,"return FULL raw `dmidecode -t 29` output filtered to the `Electrical Current Probe` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00466-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 38 2>/dev/null | grep -iA1 \""IPMI Device Information\""""",dmidecode,"return FULL raw `dmidecode -t 38` output filtered to the `IPMI Device Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00484-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 40 2>/dev/null | grep -iA1 \""Additional Information\""""",dmidecode,"return FULL raw `dmidecode -t 40` output filtered to the `Additional Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00485-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 43 2>/dev/null | grep -iA1 \""TPM Device\""""",dmidecode,"return FULL raw `dmidecode -t 43` output filtered to the `TPM Device` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00486-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 44 2>/dev/null | grep -iA1 \""Processor Additional Information\""""",dmidecode,"return FULL raw `dmidecode -t 44` output filtered to the `Processor Additional Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00487-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 38 2>/dev/null | grep -iA1 \""IPMI Device Information\""""",dmidecode,"return FULL raw `dmidecode -t 38` output filtered to the `IPMI Device Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00488-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 18 2>/dev/null | grep -iA1 \""32-Bit Memory Error Information\""""",dmidecode,"return FULL raw `dmidecode -t 18` output filtered to the `32-Bit Memory Error Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00489-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 39 2>/dev/null | grep -iA1 \""System Power Supply\""""",dmidecode,"return FULL raw `dmidecode -t 39` output filtered to the `System Power Supply` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00490-V002,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 45 2>/dev/null | grep -iA1 \""Firmware Inventory Information\""""",dmidecode,"return FULL raw `dmidecode -t 45` output filtered to the `Firmware Inventory Information` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BMC-00067-V003,PARTIAL,-- not directly runnable with a single stock high-level command: TEMP_NVME_1~16 requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00073-V003,PARTIAL,-- not directly runnable with a single stock high-level command: TEMP_GB_RTM1~8 requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00074-V003,PARTIAL,-- not directly runnable with a single stock high-level command: TEMP_GB_GPU1_M~TEMP_GB_GPU8_M requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00076-V003,PARTIAL,-- not directly runnable with a single stock high-level command: TEMP_GB_FPGA requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00081-V003,PARTIAL,-- not directly runnable with a single stock high-level command: PWR_MB_CPU0_~PWR_MB_CPU1_ requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00082-V003,PARTIAL,-- not directly runnable with a single stock high-level command: PWR_GB_GPU1~PWR_GB_GPU8 requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00083-V003,PARTIAL,-- not directly runnable with a single stock high-level command: PWR_GB_GPU1_M~PWR_GB_GPU8_M requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00084-V003,PARTIAL,-- not directly runnable with a single stock high-level command: PWR_GB_HSC1~PWR_GB_HSC10 requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00085-V003,PARTIAL,-- not directly runnable with a single stock high-level command: PWR_STBY_HSC requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00088-V004,PARTIAL,-- not directly runnable with a single stock high-level command: STATUS_FAN 1~N requires raw/implementation-specific IPMI bytes + exact expected output which the library has not specified; give exact bytes/result to run.,ipmitool,none (awaiting exact command bytes/expected result).,,
Wistron-BMC-00159-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'SEL_RealErr_Full'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `SEL_RealErr_Full`; user checks value in range & state.,,
Wistron-BMC-00160-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'SEL_InfoErr_Full'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `SEL_InfoErr_Full`; user checks value in range & state.,,
Wistron-BMC-00161-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_AMBIENT'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `TEMP_AMBIENT`; user checks value in range & state.,,
Wistron-BMC-00162-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_DCSCM'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `TEMP_DCSCM`; user checks value in range & state.,,
Wistron-BMC-00163-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_CPU0~1'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `TEMP_CPU0~1`; user checks value in range & state.,,
Wistron-BMC-00164-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_DIMM_ZONE1~4'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `TEMP_DIMM_ZONE1~4`; user checks value in range & state.,,
Wistron-BMC-00165-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_MB_CPU0_IN, TEMP_MB_CPU1_IN'""",ipmitool,"return FULL raw `sensor get` value + units + status for sensor `TEMP_MB_CPU0_IN, TEMP_MB_CPU1_IN`; user checks value in range & state.",,
Wistron-BMC-00166-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_MB_OUTLET'""",ipmitool,return FULL raw `sensor get` value + units + status for sensor `TEMP_MB_OUTLET`; user checks value in range & state.,,
Wistron-BMC-00167-V003,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""sensor get 'TEMP_MB_PSU1_IN, TEMP_MB_PSU2_IN'""",ipmitool,"return FULL raw `sensor get` value + units + status for sensor `TEMP_MB_PSU1_IN, TEMP_MB_PSU2_IN`; user checks value in range & state.",,
